name,lat,lon
Ahus Gardermoen,60.164926314,11.165191141
Bærum sykehus,59.899083902,10.509434672
ENAR Arendal,58.4668,8.755
ENAX Ålesund,62.4645,6.313847
ENBO Bodø,67.282911,14.398735
ENBX Haukeland,60.3737,5.3588
ENDH Drammen,59.74781,10.19746
ENEL Elverum,60.877540182,11.572059936
ENFD Førde,61.456814,5.888511
ENGM Gardermoen Hangar,60.208683245,11.07970049
ENHX Haugesund,59.4084,5.2809
ENKH Kristiansand,58.164,7.9809
ENKU Kristiansund,63.112795,7.743101
ENLH Lillehammer,61.11326,10.47215
ENLK Gravdal (Leknes),68.120696,13.534533
ENLV Stord,59.7927,5.5123
ENLX Ahus sykehus,59.93168,10.99162
ENMP Molde SH,62.737113739,7.1391561336
ENNH Namsos,64.469966,11.513253
ENNK Narvik,68.442740161,17.411568382
ENOV Volda,62.150279685,6.08989623
ENRH Rikshospitalet,59.94847,10.71619
ENRX Ringerike,60.1488,10.2537
ENSK Stokkmarknes,68.558259,14.916834
ENSP SØK (Kalnes),59.318889025,11.023774383
ENSX Stavanger,58.9536,5.7326
ENTE Skien,59.191,9.5927
ENTH Tønsberg,59.272617,10.417875
ENTR St.Olavs,63.41996236,10.385665241
ENTU Tromsø¸,69.68389,18.98473
ENUH Ullevål,59.936523,10.737237
ENWW Flekkefjord,58.2934,6.6675
ENYY Levanger,63.741789016,11.289600469
ENZZ Gjøvik,60.8031,10.6801
Hammerfest sykehus,70.6719334,23.6521026
Harstad sykehus,68.795699888,16.525355624
Hjelset sykehus,62.78053676,7.5172738809
Lærdal sjukehus,61.101955,7.5193667
LA Ål,60.65,8.666
LA Ålesund,62.463207,6.312612
LA Arendal,58.467453,8.754002
LA Bergen,60.379899,5.346226
LA Brønnøysund,65.46119911,12.212733851
LA Dombås,62.069202,9.121201
LA Førde,61.456994,5.886157
LA Harstad,68.77964049,16.59375402
LA Kirkenes,69.70762477,30.032856346
LA Lørenskog,59.932073,10.98682
LA Stavanger,58.952034,5.730941
LA Tromsø,69.684105628,18.984000042
LA Trondheim,63.368025,10.374222
Mo i Rana sykehus,66.330187,14.194046
Mosjøen sykehus,65.831122,13.210937
Nordfjordeid sykehus,61.91612776,5.9782939656
Odda sykehus,60.0582,6.5514
Orkdal sykehus,63.291591952,9.8446483949
Røros sykehus,62.571382,11.374947
Sandnessjøen sykehus,66.017565,12.616697
XZHM Hamar,60.7984,11.0716
XZKB Kongsberg,59.67058,9.65662
XZKK Kirkenes,69.70762477,30.032856346
XZKV Kongsvinger,60.194512045,11.993329996
XZNO Notodden,59.5661,9.2548
XZSA Sunnaas,59.835133064,10.640396149
XZTY Tynset sykehus,62.270404419,10.775112224
XZVO Voss,60.6327,6.421406
